distance,fraction_intensity,n,norm_intensity,fraction_mode,type
2,4.83478007275776,6880,0.000702729661738047,0.753043130362496,af488
3,4.92300636965633,6880,0.000715553251403536,0.766784853004885,af488
4,7.03851001944825,9632,0.000730742319294877,0.783061415465468,af488
5,8.2441409790926,11008,0.000748922690687918,0.802543450350844,af488
6,11.6920061466442,15136,0.000772463408208521,0.827769617080236,af488
7,14.3296040834207,17888,0.000801073573536486,0.858428189831347,af488
8,13.7143699235345,16512,0.000830569883934988,0.890036353149366,af488
9,17.728990767925,20640,0.00085896273100412,0.920462048265126,af488
10,20.7513945424094,23392,0.000887115019767845,0.950629961776946,af488
11,20.0639656757816,22016,0.00091133565024444,0.976584721318955,af488
12,29.4500483197785,31648,0.00093055006066034,0.997174829514862,af488
13,24.3972271118596,26144,0.000933186471536856,1,af488
14,31.0587362847008,34400,0.000902870240834326,0.967513212388728,af488
15,27.4266912796161,33024,0.000830507851248064,0.889969879096412,af488
16,24.8531679054928,34400,0.000722475811206185,0.774203048632226,af488
17,22.006477946583,37152,0.000592336292705185,0.63474590638854,af488
18,16.4866111251162,35776,0.000460828799337998,0.493822846123201,af488
19,15.9343097846467,48160,0.000330861914133029,0.354550697234322,af488
20,9.87870998052433,45408,0.000217554395272294,0.233130678495591,af488
21,6.2495331271164,45408,0.000137630662595058,0.147484631199588,af488
22,3.94391471273871,46784,8.43005025807694e-05,0.0903361816228815,af488
23,2.42207202085204,48160,5.02921931240042e-05,0.0538929727958641,af488
24,1.72601181629781,59168,2.91713733149306e-05,0.0312599616525607,af488
25,0.825670424424578,52288,1.57908205405557e-05,0.016921398908141,af488
26,0.504168369379609,56416,8.93662027402881e-06,0.00957645716757034,af488
27,0.301285658754114,61920,4.86572446308324e-06,0.00521409665859164,af488
28,0.153171030596756,59168,2.58874781295221e-06,0.00277409488018919,af488
29,0.0892514564870537,63296,1.41006471952499e-06,0.00151102139018664,af488
30,0.0483504562087436,67424,7.17110468212263e-07,0.000768453562160262,af488
31,0.0233958779139912,70176,3.33388593165629e-07,0.000357258279383942,af488
32,0.0100186831068669,71552,1.40019609610729e-07,0.000150044620106989,af488
33,0.00562148439242529,70176,8.01055117479663e-08,8.58408412372731e-05,af488
34,0.00502093688918786,72928,6.8847862126863e-08,7.37771755450741e-05,af488
35,0.00467774170991075,71552,6.53754152212482e-08,7.00561112009928e-05,af488
36,0.0053347540003697,83936,6.35574008812631e-08,6.81079321441415e-05,af488
37,0.00286361172300563,83936,3.41166093571963e-08,3.65592626959218e-05,af488
38,0.00281428453265706,83936,3.3528933147363e-08,3.59295105212408e-05,af488
39,0.00185310593521954,79808,2.32195511129153e-08,2.48820057096147e-05,af488
